,growth_time,source,sell_prices_silver,seed,sell_prices_gold,description,general_store_price,night_market_price,sell_price_regular,egg_festival_price,sell_price_silver,traveling_cart_price_min,sell_prices_iridium,sell_price_iridium,artisan_sell_price,sell_price_gold,sell_prices_regular,traveling_cart_price_max,regrowth_time,base,oasis_price,xp,energy,season,jojamart_price,name
0,7 days,,62.0,Jazz Seeds,75.0,The flower grows in a sphere to invite as many butterflies as possible.,30.0,30.0,,,,100.0,100.0,,,,50.0,1000.0,,Artisan (+40%),,10 Farming XP,,Spring,37.0,Blue Jazz
1,12 days,,218.0,Cauliflower Seeds,262.0,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients.",80.0,80.0,,,,120.0,350.0,,,,175.0,1000.0,,Artisan (+40%),,23 Farming XP,,Spring,100.0,Cauliflower
2,10 days,"Dust Sprite,Traveling Cart",,Coffee Bean,,Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee.,,,15.0,,18.0,,,30.0,150g,22.0,,,2.0,,,4 Farming XP per harvest,Inedible,"Spring, Summer",,Coffee Bean
3,4 days,,75.0,Garlic Seeds,90.0,Adds a wonderful zestiness to dishes. High quality garlic can be pretty spicy.,40.0,40.0,,,,100.0,120.0,,,,60.0,1000.0,,Artisan (+40%),,12 Farming XP,,Spring,,Garlic
4,10 days,,50.0,Bean Starter,60.0,"A juicy little bean with a cool, crisp snap.",60.0,60.0,,,,100.0,80.0,,,,40.0,1000.0,3.0,Artisan (+40%),,9 Farming XP,,Spring,75.0,Green Bean
5,6 days,,137.0,Kale Seeds,165.0,The waxy leaves are great in soups and stir frys.,70.0,70.0,,,,105.0,220.0,,,,110.0,1000.0,,Artisan (+40%),,17 Farming XP,,Spring,87.0,Kale
6,4 days,,43.0,Parsnip Seeds,52.0,A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients.,20.0,20.0,,,,100.0,70.0,,,,35.0,1000.0,,Artisan (+40%),,8 Farming XP,,Spring,25.0,Parsnip
7,6 days,,100.0,Potato Seeds,120.0,A widely cultivated tuber.,50.0,50.0,,,,100.0,160.0,,,,80.0,1000.0,,Artisan (+40%),,14 Farming XP,,Spring,62.0,Potato
8,13 days,,275.0,Rhubarb Seeds,330.0,"The stalks are extremely tart, but make a great dessert when sweetened.",,,,,,150.0,440.0,,,,220.0,1000.0,,Artisan (+40%),100.0,26 Farming XP,Inedible,Spring,,Rhubarb
9,8 days,,150.0,Strawberry Seeds,180.0,"A sweet, juicy favorite with an appealing red color.",,,,100.0,,,240.0,,,,120.0,,4.0,Artisan (+40%),,18 Farming XP,,Spring,,Strawberry
10,6 days,,37.0,Tulip Bulb,45.0,The most popular spring flower. Has a very faint sweet smell.,20.0,20.0,,,,100.0,60.0,,,,30.0,1000.0,,Artisan (+40%),,7 Farming XP,,Spring,25.0,Tulip
11,8 days (6 when irrigated),,37.0,Rice Shoot,45.0,Rice in its rawest form. Run this through a mill to increase the value.,40.0,,,,,100.0,60.0,,,,30.0,1000.0,,Artisan (+40%),,7 Farming XP,,Spring,,Unmilled Rice
12,13 days,,62.0,Blueberry Seeds,75.0,A popular berry reported to have many health benefits. The blue skin has the highest nutrient concentration.,80.0,,,,,120.0,100.0,,,,50.0,1000.0,4.0,Artisan (+40%),,10 Farming XP per harvest,,Summer,,Blueberry
13,14 days,,62.0,Corn Seeds,75.0,"One of the most popular grains. The sweet, fresh cobs are a summer favorite.",150.0,,,,,225.0,100.0,,,,50.0,1000.0,4.0,Artisan (+40%),,10 Farming XP,,"Summer, Fall",187.0,Corn
14,11 days,,31.0,Hops Starter,37.0,"A bitter, tangy flower used to flavor beer.",60.0,,,,,100.0,50.0,,,,25.0,1000.0,1.0,Artisan (+40%),,6 Farming XP,,Summer,75.0,Hops
