farming_level,0,1,2,3
1,0.030000000000000006,0.08,0.13,0.18000000000000005
2,0.05000000000000001,0.11666666666666667,0.18333333333333335,0.25
3,0.06999999999999999,0.15333333333333335,0.2366666666666667,0.32000000000000006
4,0.09000000000000001,0.19000000000000003,0.29000000000000004,0.39000000000000007
5,0.11,0.22666666666666668,0.3433333333333334,0.4600000000000001
6,0.13,0.2633333333333333,0.39666666666666667,0.53
7,0.15,0.30000000000000004,0.45000000000000007,0.6000000000000001
8,0.17000000000000004,0.3366666666666667,0.5033333333333334,0.6700000000000002
9,0.19000000000000003,0.3733333333333334,0.5566666666666668,0.7400000000000001
10,0.21000000000000002,0.41000000000000003,0.6100000000000001,0.81
