farming_level,0,1,2,3
1,0.015000000000000003,0.04,0.065,0.09000000000000002
2,0.025000000000000005,0.058333333333333334,0.09166666666666667,0.125
3,0.034999999999999996,0.07666666666666667,0.11833333333333335,0.16000000000000003
4,0.045000000000000005,0.09500000000000001,0.14500000000000002,0.19500000000000003
5,0.055,0.11333333333333334,0.1716666666666667,0.23000000000000004
6,0.065,0.13166666666666665,0.19833333333333333,0.265
7,0.075,0.15000000000000002,0.22500000000000003,0.30000000000000004
8,0.08500000000000002,0.16833333333333336,0.2516666666666667,0.3350000000000001
9,0.09500000000000001,0.1866666666666667,0.2783333333333334,0.37000000000000005
10,0.10500000000000001,0.20500000000000002,0.30500000000000005,0.405
