farming_level,0,1,2,3
1,0.06000000000000001,0.16,0.26,0.3600000000000001
2,0.10000000000000002,0.23333333333333334,0.3666666666666667,0.5
3,0.13999999999999999,0.3066666666666667,0.4733333333333334,0.6400000000000001
4,0.18000000000000002,0.38000000000000006,0.5800000000000001,0.75
5,0.22,0.45333333333333337,0.6866666666666668,0.75
6,0.26,0.5266666666666666,0.75,0.75
7,0.3,0.6000000000000001,0.75,0.75
8,0.3400000000000001,0.6733333333333335,0.75,0.75
9,0.38000000000000006,0.7466666666666668,0.75,0.75
10,0.42000000000000004,0.75,0.75,0.75
